id,chapter,Question,Answer
343,"Chapter 5","What happens to your calibrated airspeed (CAS) or indicated airspeed (IAS) and true airspeed (TAS) if you fly at a constant CAS (IAS) into a warmer area?","The CAS (IAS) remains constant because CAS (IAS) is unaffected by temperature, whereas the TAS will increase because of the decrease in air density associated with warmer temperatures."
344,"Chapter 5","If two aircraft are flying at different flight levels at the same Mach number, which aircraft has the higher TAS/CAS (IAS)?","The aircraft at the lower altitude has a higher true airspeed (TAS)/calibrated airspeed (CAS) or indicated airspeed (IAS)."
345,"Chapter 5","What happens to Mach number (MN) and calibrated airspeed (CAS) or indicated airspeed (IAS) when climbing through an isothermal layer at a constant true airspeed (TAS)?","Mach number remains constant, and CAS (IAS) decreases."
346,"Chapter 5","What happens to calibrated airspeed (CAS) or indicated airspeed (IAS) if an aircraft descends through an isothermal layer at a constant true airspeed (TAS)?","CAS (IAS) increases."
347,"Chapter 5","What happens to the calibrated airspeed (CAS) or indicated airspeed (IAS) and Mach number (MN) if an aircraft climbs at a constant true airspeed (TAS) through an inversion layer?","CAS (IAS) decreases more than normal, and MN decreases."
348,"Chapter 6","What are the pressure flight instruments, and how do they work?","The pressure flight instruments are 1. Airspeed indicator (ASI)/Mach meter (MM) 2. Altimeter 3. Vertical speed indicator (VSI). Pressure instruments measure atmospheric pressure by using the pitot-static system[cite: 7894, 7895, 7896, 7897, 7898, 7899]."
349,"Chapter 6","How does the airspeed indicator (ASI) work?","The ASI measures dynamic pressure as the difference between the total pitot pressure measured in the instrument's capsule/diaphragm and the static pressure measured in the case. The dynamic pressure represents the indicated airspeed (IAS) as knots per hour[cite: 7908, 7909, 7910]."
350,"Chapter 6","What are the airspeed indicator (ASI) instrument errors?","The ASI instrument suffers from the following errors: 1. Instrument error 2. Pressure error 3. Density error 4. Compressibility error 5. Maneuver error 6. Blocked pitot static system[cite: 7912, 7913, 7914, 7915, 7916, 7917, 7918]."
351,"Chapter 6","How is VMO displayed on the airspeed indicator (ASI)?","On the ASI display, a red/black striped pointer indicates the VMO speed[cite: 7919, 7920]."
352,"Chapter 6","Describe how a Mach meter works.","The Mach meter measures the airspeed relative to the speed of sound. In essence, the Mach meter is a combined airspeed indicator (ASI) and altimeter...[cite: 7921, 7922, 7923]."
353,"Chapter 6","What errors does a Mach meter suffer from?","The Mach meter only suffers from the following errors: 1. Instrument error... 2. Pressure error... 3. Blocked pitot static system... Note: The Mach meter does not suffer from density or temperature errors...[cite: 7935, 7936, 7937, 7938, 7940, 7941]."
354,"Chapter 6","What are the airspeed indicator (ASI)/Mach meter indications and actions for a blocked pitot and/or static probe?","A static line blockage means that the static pressure in the ASI/Mach meter instrument case remains a constant value... A pitot line blockage means that the total pressure in the ASI/MM instrument capsule remains a constant value... The actions... would be to 1. Ensure that the pitot static probe anti-ice heating is on... 2. Use an alternative... 3. Use a limited flight panel... 4. Fly at a correct attitude and power setting[cite: 7942, 7943, 7958, 7962, 7963, 7964, 7965, 7966]."
355,"Chapter 6","How does a pressure altimeter work?","A simple pressure altimeter is designed to measure static air pressure, which it relates to an indicated altitude. As the aircraft ascends, the static pressure in the instrument case decreases...[cite: 7967, 7974, 7975]."
356,"Chapter 6","Give the definitions of the following altimeter subscale settings?","QNH: QNH is a local altimeter setting that makes the altimeter indicate the aircraft's altitude above mean sea level... QFE: This zeros the altimeter on the airfield elevation datum... QFF: This is similar to QNH except that it uses the actual conditions (not ISA) to find the sea level pressure... QNE: This is not an altimeter setting but is the height shown at touchdown on the altimeter with 29.92 in or 1013 millibars set... Standard setting: 29.92 in or 1013 hPa... will give altimeter readings as a pressure altitude or flight level...[cite: 7980, 7981, 7987, 7990, 7992, 7994]."
357,"Chapter 6","What are the altimeter instruments errors?","The altimeter instrument errors are as follows: 1. Instrument error 2. Pressure error 3. Time-lag error 4. Barometric error 5. Temperature/density error 6. Blocked static port[cite: 7996, 7997, 7998, 7999, 8000, 8001, 8002, 8003]."
358,"Chapter 6","What are the altimeter indications and actions for a blocked static port?","A static line blockage means that the static pressure in the altimeter instrument case remains a constant value. Therefore, the altimeter will display the altitude where the blockage occurred regardless of any actual change in the aircraft's altitude. The actions... would be 1. To ensure that the pitot static probe anti-ice heat is on... 2. To use an alternative... 3. To use a limited flight panel... 4. To fly correct attitude and power settings...[cite: 8004, 8005, 8006, 8007, 8008, 8009, 8012, 8013]."
359,"Chapter 6","Given a temperature deviation from ISA of 36°C the pressure altimeter will (a) overread, (b) underread, or (c) read correctly, and why?","The altimeter will overread because the temperature deviation is colder than the international standard atmosphere (ISA); i.e., the altimeter reads an altitude higher than the actual altitude of the aircraft[cite: 8015, 8016, 8017]."
360,"Chapter 6","What do you know about servo-assisted altimeters?","A servo-assisted altimeter increases the accuracy of a simple pressure altimeter because its design no longer relies on a direct mechanical link between its capsule and the altitude pointer on the instruments display dial[cite: 8019, 8020]."
361,"Chapter 6","What is the advantage of a servo-assisted altimeter?","The advantage of a servo-assisted altimeter is its improved design feature between the capsule and the display pointer that removes (1) instrument error and (2) time-lag error, which are associated with a simple altimeter[cite: 8022, 8023]."
362,"Chapter 6","How does a vertical speed indicator (VSI) instrument work?","The VSI instrument measures the rate of change of static pressure and displays this as a rate of climb or descent... on the VSI instrument face[cite: 8025, 8026]."
